n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,pulsed_train_loss,pulsed_acc_train,pulsed_acc_test,pulsed_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr
1,1,0,0.2847302820761813,0.598,0.604,0.05,0.1451965331180697,0.816,0.796,0.0249993978020112,0.2819919796987615,0.542,0.624,0.0465441203107285
1,1,1,0.2212299412419987,0.66,0.676,0.05,0.1399879928466698,0.83,0.836,0.0465773851151822,0.2195850417355024,0.664,0.688,5.433747668742716e-05
1,1,2,0.2665198387056545,0.6,0.632,0.05,0.1543545655261961,0.794,0.776,0.0040449634056502,0.2675558283640018,0.578,0.624,0.0021617706700128
1,1,3,0.2249273055033067,0.662,0.496,0.05,0.1639390513271526,0.77,0.784,0.000285354189344,0.2246738899758903,0.688,0.528,0.0057920401781559
1,1,4,0.2327300386981758,0.624,0.568,0.05,0.1377254981255229,0.804,0.824,0.0040966264507174,0.232751341688771,0.616,0.564,0.0146005647790199
1,2,0,0.1583185054050869,0.81,0.812,0.05,0.0941268989506516,0.876,0.864,0.0028269840677924,0.1739916139559054,0.746,0.756,0.0012005740343275
1,2,1,0.140642739905689,0.82,0.828,0.05,0.0979233004698071,0.882,0.88,0.0055249733188776,0.1810463105687149,0.742,0.788,0.0037455710965211
1,2,2,0.1889185153373645,0.724,0.724,0.05,0.1231738716682356,0.828,0.82,0.0129732912517044,0.1915833819419605,0.724,0.732,0.0004057250595794
1,2,3,0.1734592885084122,0.772,0.76,0.05,0.1322850140971878,0.824,0.804,0.0024512941590147,0.1756969780540035,0.764,0.736,0.0015067407400718
1,2,4,0.1654991368719344,0.814,0.848,0.05,0.1018320667945531,0.888,0.916,0.0030343885437304,0.2007480691390797,0.762,0.74,0.0001254152720166
1,3,0,0.143400238521812,0.798,0.788,0.05,0.09050741039435,0.896,0.912,0.0007258580741103,0.1307625162906603,0.826,0.832,0.0028874866987927
1,3,1,0.1562726034806704,0.796,0.796,0.05,0.1078653761292184,0.878,0.884,0.0011796662008123,0.1423503385664118,0.828,0.768,0.000860733685986
1,3,2,0.1846564996328678,0.752,0.748,0.05,0.111452689839567,0.852,0.82,0.0025741245072268,0.167568396766279,0.76,0.764,0.000782930462482
1,3,3,0.184526333316132,0.742,0.704,0.05,0.1350076445732662,0.808,0.848,0.000489193749125,0.1806630137717285,0.756,0.732,0.0008707942874448
1,3,4,0.1860605044004675,0.744,0.752,0.05,0.10569591132152,0.886,0.864,0.0019227579891642,0.1797314121471879,0.752,0.784,0.0006580992395883
1,4,0,0.1415569012647091,0.814,0.816,0.05,0.1165201379867182,0.844,0.86,0.0021681059770356,0.1666091091639055,0.762,0.78,0.0007675391140382
1,4,1,0.1349653002281792,0.828,0.804,0.05,0.0920754183038893,0.888,0.86,0.0011273008942149,0.1424629920422949,0.834,0.828,0.0005432017791705
1,4,2,0.1654845014484654,0.772,0.752,0.05,0.1050626488140292,0.868,0.868,0.0007798276617438,0.1487069719496512,0.794,0.784,0.0013914632827851
1,4,3,0.1664979319157258,0.772,0.716,0.05,0.1242629244961516,0.846,0.824,0.0003654729734996,0.1779107195241427,0.746,0.72,0.0001239672189189
1,4,4,0.1307123574516439,0.828,0.84,0.05,0.081550840012278,0.908,0.912,0.002843487862233,0.1528072651232244,0.804,0.748,0.0007064847577051
1,5,0,0.1371162846451689,0.818,0.804,0.05,0.0914623470574515,0.902,0.892,0.000875873146935,0.1350692487719912,0.816,0.804,0.0007900071005722
1,5,1,0.1433706128889041,0.812,0.784,0.05,0.0767416879923774,0.912,0.932,0.0015430556248361,0.1421892316446308,0.816,0.792,0.0016035936724044
1,5,2,0.1836147170665519,0.738,0.732,0.05,0.0892150582164996,0.888,0.872,0.0022591043164254,0.1595380636538854,0.76,0.776,0.0015984232135866
1,5,3,0.1793219711970417,0.752,0.7,0.05,0.1131609578601083,0.868,0.884,0.001728558713771,0.1829009429267569,0.712,0.628,0.0012488089777576
1,5,4,0.1229471333543672,0.842,0.848,0.05,0.1033665101435636,0.858,0.86,0.0011711124059069,0.1276285485929322,0.84,0.856,0.0003093949582612
1,6,0,0.1502689350305042,0.804,0.76,0.05,0.0803162145551285,0.904,0.896,0.0002247909051135,0.1289946827291255,0.828,0.868,0.0003298359905683
1,6,1,0.120045327232719,0.842,0.784,0.05,0.0951178207605022,0.884,0.852,0.0008925677853277,0.1478373909118102,0.792,0.74,0.0005125981027834
1,6,2,0.1512415282270778,0.79,0.76,0.05,0.0928649636019277,0.882,0.832,0.0004134871934227,0.1519562252072125,0.768,0.772,0.0007724257122754
1,6,3,0.18982456451727,0.696,0.776,0.05,0.1341397601741176,0.808,0.86,0.0014798180101078,0.1721042036101521,0.75,0.684,0.0002663488339221
1,6,4,0.1131530661296307,0.852,0.852,0.05,0.0891833127989641,0.894,0.896,0.0007851860696505,0.1248734201934798,0.85,0.832,0.0001379953316159
1,7,0,0.1187474810586819,0.84,0.824,0.05,0.0770476235556243,0.904,0.92,0.0007213403541231,0.1432786127638754,0.806,0.792,0.0001022557728644
1,7,1,0.1084717302906252,0.86,0.84,0.05,0.0928471903744641,0.882,0.9,7.307912949047772e-05,0.1360605726209739,0.818,0.788,0.0011915898856176
1,7,2,0.1659097955212164,0.774,0.776,0.05,0.1026796095677255,0.868,0.832,0.0007922627331815,0.181252762513708,0.732,0.74,9.07199551350743e-05
1,7,3,0.1544962455176928,0.796,0.72,0.05,0.1046288021249669,0.872,0.812,0.0004244206035694,0.1756725260432149,0.752,0.656,0.0003564535230767
1,7,4,0.1431154971902306,0.824,0.78,0.05,0.084719139221582,0.898,0.912,0.0001257518208116,0.1197242550117361,0.86,0.828,0.0003224507478668
1,8,0,0.1200762471035013,0.848,0.84,0.05,0.0918678879475742,0.888,0.876,0.0002412485523404,0.1486170545399791,0.79,0.796,0.000360582214393
1,8,1,0.1249573386346145,0.83,0.804,0.05,0.1011196611954789,0.872,0.868,8.070538849161183e-05,0.1319521464627771,0.83,0.796,0.0002020770920356
1,8,2,0.1555284185810711,0.778,0.772,0.05,0.0988416776236363,0.872,0.86,0.0009428796831409,0.1648715592434456,0.786,0.724,8.297291203600647e-05
1,8,3,0.1794095666195783,0.748,0.752,0.05,0.1155646627503912,0.848,0.844,0.0006648557547345,0.1843366121130128,0.738,0.692,0.00034428725124
1,8,4,0.1185865813067016,0.842,0.796,0.05,0.0790090999014156,0.904,0.904,6.851690181044427e-05,0.1430402669689691,0.828,0.752,0.0007788859990678
2,1,0,0.2317678902615728,0.638,0.644,0.05,0.1316226338826768,0.782,0.728,0.0027190650700768,0.2440726559043354,0.61,0.632,0.0003053984965605
2,1,1,0.2125944623088012,0.678,0.692,0.05,0.1076853322187335,0.868,0.888,5.014025507140625e-05,0.2110895995547283,0.672,0.676,0.0029951849008432
2,1,2,0.2280244487620821,0.628,0.704,0.05,0.1337125636094725,0.828,0.808,0.0015414673919341,0.2337773189253389,0.632,0.688,0.0005311388037083
2,1,3,0.198607140390041,0.708,0.56,0.05,0.1374464681767699,0.808,0.796,0.0013578687303419,0.220937366365041,0.686,0.52,0.0001860387283794
2,1,4,0.2054009951183287,0.7,0.604,0.05,0.0852236139805562,0.898,0.88,0.0113421143719508,0.2165657818617197,0.62,0.568,0.0013600627447907
2,2,0,0.1365290720591452,0.832,0.868,0.05,0.0853811613290606,0.89,0.908,0.0017523754980074,0.1328271029664188,0.834,0.84,0.0010951035482337
2,2,1,0.1323535751947605,0.82,0.856,0.05,0.1053683127449686,0.864,0.868,0.0008218844233499,0.1442162289225053,0.82,0.832,0.0008930331288381
2,2,2,0.1528345013694732,0.784,0.8,0.05,0.10636511950271,0.88,0.88,0.0021460280021371,0.1468664879282918,0.788,0.796,0.0003930658014305
2,2,3,0.1554212385779671,0.8,0.76,0.05,0.0988128682236861,0.868,0.872,0.0009826775681857,0.1653512438271121,0.774,0.756,0.0003262963114363
2,2,4,0.143463524963094,0.826,0.832,0.05,0.0899779348056234,0.9,0.904,0.0008687838161542,0.1618147735837306,0.812,0.812,0.0001068297506813
2,3,0,0.1157123845945229,0.86,0.86,0.05,0.0753441266670525,0.934,0.924,0.0004265982035585,0.1352591270020706,0.838,0.86,0.0011744389983363
2,3,1,0.1157411789841777,0.854,0.832,0.05,0.0823642016557982,0.904,0.908,0.0005350810445389,0.120663369544106,0.844,0.808,0.0008627023398124
2,3,2,0.1427786524555239,0.81,0.784,0.05,0.09401012044091,0.906,0.888,0.0002239727391403,0.1575369808880265,0.792,0.76,0.0011192347150255
2,3,3,0.1458374027642584,0.816,0.74,0.05,0.1119998611216273,0.858,0.836,0.0004187353957418,0.1556873084171929,0.78,0.776,0.0002069669703209
2,3,4,0.140315281284724,0.806,0.792,0.05,0.074179681249634,0.918,0.916,0.000151910885623,0.1453397664091185,0.828,0.824,0.0001566046399757
2,4,0,0.111688068547807,0.87,0.872,0.05,0.0705823888288085,0.926,0.924,0.0003486025572726,0.1382435473026235,0.824,0.828,0.000303691726009
2,4,1,0.1203393979075076,0.838,0.832,0.05,0.0733310800833883,0.918,0.904,0.0004955132993863,0.1270272807936386,0.838,0.856,0.0005193660866391
2,4,2,0.125762983814423,0.832,0.84,0.05,0.0825073257415811,0.908,0.876,0.0003662390139652,0.1388830702043368,0.826,0.788,0.0004164470523282
2,4,3,0.1444952636039323,0.81,0.752,0.05,0.0953956584047732,0.888,0.88,0.0003743520830807,0.1561514867940848,0.796,0.748,7.361768905933399e-05
2,4,4,0.1136654878174494,0.854,0.852,0.05,0.071367252375107,0.918,0.908,0.000911350076471,0.1264838058130236,0.84,0.764,0.0001279537007011
2,5,0,0.1148801143328606,0.85,0.836,0.05,0.0622327525317118,0.93,0.936,0.0005489643951946,0.1136939411097556,0.862,0.856,0.0002651520158163
2,5,1,0.1125749186846941,0.866,0.832,0.05,0.0723941756614578,0.924,0.872,0.0003052455856149,0.1265278852796896,0.842,0.8,0.0005191425828626
2,5,2,0.1385424599345343,0.814,0.764,0.05,0.0793120141592843,0.902,0.868,0.0002727680816162,0.1518597463584171,0.794,0.716,0.0006317990551601
2,5,3,0.152270467944435,0.788,0.748,0.05,0.0799059356101467,0.91,0.904,0.0004675730877043,0.1599057064417957,0.772,0.72,0.000165016546613
2,5,4,0.104066768029898,0.874,0.844,0.05,0.0564965645905164,0.928,0.912,0.0005650203894384,0.1157162952188326,0.858,0.832,0.0003354940554724
2,6,0,0.1075041115208194,0.872,0.832,0.05,0.0719984685375964,0.924,0.916,0.0004716954750419,0.1203300678677113,0.846,0.856,0.0002929998520562
2,6,1,0.100233410085686,0.874,0.816,0.05,0.069149916848192,0.93,0.912,0.0004172114227597,0.1195599686931129,0.854,0.816,0.0004687319277494
2,6,2,0.1327732713935223,0.834,0.788,0.05,0.0789047850305788,0.918,0.896,0.0005375683938897,0.1499467156092174,0.784,0.736,0.0002110305051544
2,6,3,0.1468487956905122,0.798,0.748,0.05,0.0825235402250738,0.916,0.908,0.0003448015636167,0.1531119124033378,0.792,0.724,0.0002458595974587
2,6,4,0.1063333085843752,0.86,0.868,0.05,0.0684703023421154,0.928,0.936,0.0002145678101061,0.1064826683181957,0.858,0.852,0.0005312297494478
2,7,0,0.1051194134592261,0.868,0.88,0.05,0.0658135709696031,0.936,0.932,0.0002721508559793,0.119732908664416,0.844,0.832,0.0001975004766684
2,7,1,0.0912870884159891,0.9,0.868,0.05,0.0710707997688678,0.928,0.888,0.00018019714599,0.1189477669143789,0.842,0.812,0.0002295154807297
2,7,2,0.1306118159216056,0.826,0.808,0.05,0.0726389915120882,0.914,0.9,0.0002158244581495,0.1429242253554288,0.804,0.772,0.0002835136862545
2,7,3,0.1332996313951927,0.834,0.744,0.05,0.0800844318514706,0.926,0.912,0.000263290364665,0.1551299701706271,0.796,0.7,0.0003580578813553
2,7,4,0.1078534852992781,0.862,0.8,0.05,0.0597098181041944,0.93,0.944,0.0006118556567957,0.1211136957201529,0.846,0.852,0.0001592060427869
2,8,0,0.0862022524375063,0.9,0.904,0.05,0.0644812685594311,0.932,0.924,0.0005767123748152,0.1192568433323336,0.852,0.868,0.0004002533372847
2,8,1,0.1037435149338773,0.874,0.82,0.05,0.08044451351602,0.91,0.876,0.0001688371861538,0.122951912485674,0.826,0.78,0.0002073085580825
2,8,2,0.1456978750147182,0.812,0.78,0.05,0.0765539248324255,0.914,0.876,0.0002677888960314,0.1447419948796528,0.812,0.8,0.0002723547179152
2,8,3,0.1517296786987413,0.814,0.764,0.05,0.0831228302643537,0.91,0.868,0.0001749035366059,0.1661688895253197,0.78,0.744,0.0004373219856609
2,8,4,0.1107575036406391,0.846,0.82,0.05,0.0591081440256252,0.936,0.928,0.0001109647743537,0.1169508443338078,0.848,0.836,0.0002539113326996
