n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr,pulsed_train_loss,pulsed_acc_train,pulsed_acc_test,pulsed_lr
1,1,0,0.2674185718502337,0.604,0.58,0.05,0.2664105652294284,0.614,0.576,5.181524938222635e-05,0.2818592519695504,0.54,0.548,0.0039776327076046
1,1,1,0.2529717685363161,0.646,0.564,0.05,0.249827344444196,0.632,0.572,0.0410651069257124,0.2974074207456334,0.48,0.516,5.041874427793579e-05
1,1,2,0.2555956303350581,0.64,0.612,0.05,0.2556288020195353,0.64,0.612,0.0048894226938778,0.2869341680307873,0.486,0.528,0.0146136987767243
1,1,3,0.2446468922515915,0.656,0.628,0.05,0.2445020125927384,0.662,0.624,5.113500472035322e-05,0.2888828354411989,0.53,0.532,0.0025368674092938
1,1,4,0.2426323807888853,0.654,0.684,0.05,0.2436803288757887,0.66,0.672,0.0034672992897819,0.2947001551286468,0.558,0.464,0.0308704351034994
1,2,0,0.2422447818704182,0.626,0.616,0.05,0.2462712148617968,0.622,0.588,0.0005667890284874,0.1713501473958452,0.782,0.792,0.0029144309636768
1,2,1,0.2409671876523839,0.622,0.548,0.05,0.2572040366471942,0.588,0.58,0.0036531393505887,0.1589412497126223,0.782,0.748,0.0100778589166125
1,2,2,0.2211948108591219,0.668,0.596,0.05,0.2223761822606669,0.664,0.592,0.0005491685325486,0.1536026737390593,0.796,0.764,0.0016421483337908
1,2,3,0.2282248801118666,0.644,0.572,0.05,0.2399375987033505,0.632,0.536,0.0013890334074836,0.14940656484146,0.824,0.796,0.0043935075705367
1,2,4,0.2786801731099156,0.57,0.616,0.05,0.2454683974618503,0.626,0.596,0.0003896622152591,0.1524831037333677,0.786,0.788,0.0056508488416487
1,3,0,0.1940317402333047,0.712,0.664,0.05,0.2086556209179747,0.68,0.632,0.0018841568424027,0.1389285281392332,0.786,0.816,0.0003317553409051
1,3,1,0.220168980850507,0.682,0.68,0.05,0.2176957552081784,0.672,0.628,0.0003955882428678,0.1369464554309787,0.814,0.744,0.0048969731126517
1,3,2,0.1892363955018644,0.728,0.636,0.05,0.2064548217921214,0.686,0.636,0.0007965286056521,0.1448627120616715,0.806,0.76,0.0012496574087788
1,3,3,0.1970881070094486,0.72,0.608,0.05,0.2018426898113597,0.696,0.696,0.0006613292388077,0.1537433240901857,0.802,0.792,0.00072984694964
1,3,4,0.2234627320618538,0.668,0.668,0.05,0.2309417189751651,0.682,0.684,0.001324289011318,0.1622456351551256,0.8,0.728,0.0001625638435341
1,4,0,0.1951721227702349,0.714,0.676,0.05,0.205940002582916,0.69,0.66,0.0020558810201786,0.1421365519716484,0.786,0.756,0.0020391622854056
1,4,1,0.2062072835539155,0.696,0.644,0.05,0.2309438689551539,0.65,0.576,0.0001879228751126,0.1320212125169768,0.834,0.808,0.0002899789081003
1,4,2,0.1827091542371965,0.712,0.604,0.05,0.1986906013459316,0.728,0.68,0.0004940639254401,0.1247279801995601,0.842,0.856,0.0001447958993169
1,4,3,0.2119975538663947,0.694,0.62,0.05,0.2178652205761486,0.696,0.604,0.0010930486605313,0.128384225454238,0.846,0.812,0.0004185448113557
1,4,4,0.2056745560899438,0.698,0.7,0.05,0.2108635909220817,0.682,0.672,0.0005469737178386,0.1360735448241756,0.796,0.76,0.0012397915093421
1,5,0,0.2044624581637887,0.704,0.616,0.05,0.2119805887339203,0.68,0.58,0.0001470853501826,0.1136895777184378,0.862,0.88,0.0006743396479703
1,5,1,0.1998521367591136,0.694,0.604,0.05,0.2068663852439285,0.702,0.668,0.0004137960634289,0.1528444281051073,0.766,0.724,0.0003473674734522
1,5,2,0.1959415838881494,0.72,0.712,0.05,0.1986391741562019,0.702,0.696,0.0004644955663251,0.1615880576659703,0.75,0.744,0.0013406679461075
1,5,3,0.192742429426731,0.734,0.632,0.05,0.1965865970359421,0.71,0.684,0.0008266315685566,0.1422001238916462,0.786,0.728,0.0005498339603927
1,5,4,0.2082093241035311,0.702,0.632,0.05,0.212220672336804,0.688,0.664,0.0005422513345632,0.1511865744046244,0.778,0.68,0.0015287998115577
1,6,0,0.1842138864816092,0.722,0.68,0.05,0.2165235473475243,0.674,0.568,0.0008225235053358,0.1175275030021148,0.868,0.828,0.0004416914964689
1,6,1,0.1941351271506209,0.708,0.596,0.05,0.2194513491292951,0.69,0.668,0.0003195946024007,0.1115536883070546,0.892,0.844,0.0008181500541053
1,6,2,0.1779744575148274,0.744,0.68,0.05,0.1875077823314215,0.732,0.676,0.0006159736491653,0.1408328656804927,0.81,0.848,0.0009807165378487
1,6,3,0.1803075170444567,0.74,0.66,0.05,0.20418035943,0.686,0.64,0.0005072521822928,0.1358014084517023,0.802,0.776,0.0002675037191239
1,6,4,0.2265630054270062,0.662,0.644,0.05,0.216068503251263,0.688,0.688,0.0003974150952602,0.1456815613101313,0.77,0.728,0.0014431724525222
1,7,0,0.1748262586159947,0.754,0.636,0.05,0.1891846101325837,0.706,0.644,0.0005299008560221,0.13870946935733,0.812,0.784,0.0005144523603633
1,7,1,0.1943907988145778,0.722,0.668,0.05,0.2255071785566386,0.66,0.688,0.0009530344949985,0.1339811695776078,0.814,0.724,0.0001883649136152
1,7,2,0.1735084264629804,0.744,0.66,0.05,0.2011709162135033,0.7,0.596,0.0006702354028207,0.1320883755693709,0.83,0.776,0.0006862920682385
1,7,3,0.1664440734801624,0.748,0.668,0.05,0.1952980125878808,0.708,0.604,0.0002709116544422,0.1408262586377947,0.834,0.772,0.0002528396187791
1,7,4,0.1978667453744744,0.696,0.636,0.05,0.2038666421066504,0.688,0.668,0.0005114296840904,0.1249689854104923,0.816,0.764,0.0003736148963778
1,8,0,0.1822023866409013,0.728,0.64,0.05,0.1900276875587171,0.708,0.664,0.0003437957625238,0.1163341816739146,0.862,0.812,0.0008665061693558
1,8,1,0.1907381460578045,0.702,0.692,0.05,0.2039137352085687,0.696,0.676,0.0006455522290879,0.1334453151046498,0.848,0.748,0.0001928051324848
1,8,2,0.1743214044807854,0.752,0.68,0.05,0.1868144747775962,0.728,0.644,0.0010000980152453,0.1403008200302688,0.786,0.796,0.0001118852523388
1,8,3,0.1853174144299497,0.738,0.604,0.05,0.1760071275053404,0.756,0.676,6.803503115150398e-05,0.1207392379355611,0.848,0.788,0.0006371947588951
1,8,4,0.186659986945315,0.738,0.6,0.05,0.2086036817433708,0.686,0.616,0.0006308263310209,0.096495194147651,0.902,0.84,0.0013819363115682
2,1,0,0.2187034511064365,0.654,0.636,0.05,0.2316370051574911,0.616,0.612,0.0044804093955159,0.1683393372426238,0.764,0.796,0.0017986893304027
2,1,1,0.2110526402213683,0.668,0.584,0.05,0.2200973519270778,0.662,0.592,0.0031242330407455,0.1597970707444902,0.784,0.772,0.0004718024884128
2,1,2,0.2010844082812675,0.704,0.648,0.05,0.2113615626517789,0.68,0.656,0.0002263368246743,0.1610511397199215,0.774,0.728,0.0171364378482739
2,1,3,0.2019052113441112,0.662,0.592,0.05,0.2118463046091773,0.69,0.64,0.0004417903501854,0.1566796390684745,0.77,0.748,0.0002102998004414
2,1,4,0.210350439551224,0.678,0.704,0.05,0.2120797362034599,0.676,0.68,0.0014758259476463,0.1584896792117888,0.792,0.68,0.005865308518652
2,2,0,0.1841494370287274,0.698,0.56,0.05,0.1877448979350593,0.728,0.696,0.0006406926727285,0.1274067831995071,0.858,0.824,0.0010314882251081
2,2,1,0.196739613059777,0.704,0.608,0.05,0.2091273161628387,0.67,0.64,0.0007563390699301,0.1467517686096894,0.8,0.724,0.0019589616526931
2,2,2,0.1780446031180419,0.76,0.656,0.05,0.1895267551702651,0.712,0.62,0.0004496166595731,0.1290993067223126,0.86,0.848,0.0002734396027971
2,2,3,0.1810349023554057,0.738,0.656,0.05,0.1909986457140516,0.718,0.652,0.0002337812078671,0.1263133615586914,0.856,0.832,0.0004851362743972
2,2,4,0.195941592528373,0.72,0.7,0.05,0.1947232623157,0.71,0.708,0.0002508693196017,0.1239022483566907,0.86,0.776,0.0012942330587984
2,3,0,0.1667715035229388,0.74,0.7,0.05,0.1912242162019894,0.714,0.62,0.0012095835790755,0.0937527499754926,0.916,0.856,0.0003318583877124
2,3,1,0.1897279756551318,0.7,0.64,0.05,0.194882950646888,0.704,0.664,0.0005345426648411,0.1087498563451675,0.88,0.876,0.0004433730084361
2,3,2,0.1549874816445383,0.772,0.656,0.05,0.1652430604339235,0.756,0.708,0.0004281483575449,0.1189027036139397,0.876,0.864,0.0009297342462438
2,3,3,0.1618845528190888,0.778,0.644,0.05,0.1731880765993983,0.77,0.648,0.0003608952789575,0.1177700388882216,0.89,0.824,0.0001307756915872
2,3,4,0.1760956208380855,0.744,0.696,0.05,0.2006559751297343,0.692,0.632,0.000980564116149,0.1192271027113886,0.86,0.8,0.0002842497189773
2,4,0,0.1693784107230003,0.764,0.664,0.05,0.1804137293945182,0.744,0.612,0.0002548666012436,0.1028017986070889,0.91,0.9,0.0005015223925514
2,4,1,0.1707379540931729,0.756,0.748,0.05,0.1937199074892545,0.712,0.676,0.0002454154825001,0.114580475556559,0.894,0.836,0.0001043725206911
2,4,2,0.1524374846228635,0.802,0.72,0.05,0.1717913471549529,0.736,0.692,0.0001794636365943,0.1059540236968629,0.906,0.864,0.0001949350738636
2,4,3,0.1590566101939147,0.774,0.668,0.05,0.1700161846398485,0.73,0.612,0.0002774258195264,0.1095680561917909,0.876,0.828,0.0004436923124893
2,4,4,0.1613386143327893,0.768,0.652,0.05,0.1962595376590586,0.692,0.652,0.0002671786338411,0.0836687978139793,0.922,0.812,0.0004121268886799
2,5,0,0.158914203766001,0.786,0.632,0.05,0.1836894724969173,0.704,0.596,0.0003167258399091,0.0990787766028005,0.902,0.884,0.0004132979853774
2,5,1,0.1616486378171074,0.762,0.7,0.05,0.1804230542062773,0.75,0.684,0.0003722310732648,0.1018388357478772,0.908,0.828,0.0003121824240933
2,5,2,0.1511295453176716,0.78,0.684,0.05,0.1662693196415872,0.76,0.664,0.0001982014230535,0.112527127841329,0.872,0.86,0.0004646177206113
2,5,3,0.1514753329136631,0.786,0.652,0.05,0.163571593888229,0.782,0.644,0.000633524094255,0.1019434816211946,0.886,0.804,0.0002514832305509
2,5,4,0.1693197787034835,0.76,0.68,0.05,0.1744595965267336,0.748,0.712,0.0002039466736859,0.0844300333723002,0.932,0.824,0.0003768469950405
2,6,0,0.1557445716892208,0.786,0.632,0.05,0.1780676552560337,0.736,0.632,0.000186201608142,0.1068724610634488,0.874,0.856,0.0003781183884842
2,6,1,0.1598679280587022,0.772,0.676,0.05,0.1837875540587343,0.744,0.66,0.0001699126572317,0.1028665088811401,0.908,0.868,0.0001196877679777
2,6,2,0.1382183368129143,0.818,0.66,0.05,0.1614362457803286,0.79,0.696,0.0002539570035921,0.1095175361361272,0.86,0.848,0.0007000203510327
2,6,3,0.14879167322427,0.778,0.692,0.05,0.1760175084986843,0.736,0.592,7.515620829348696e-05,0.1087556522468605,0.908,0.864,0.0001149863685093
2,6,4,0.1722430587803189,0.766,0.624,0.05,0.1787838007788468,0.742,0.632,0.0002436278442605,0.0913595324320773,0.914,0.812,0.0006551462762835
2,7,0,0.1608087121929871,0.752,0.72,0.05,0.1684598102140249,0.756,0.632,0.0003707170395656,0.1002577356435026,0.894,0.868,0.0004097976942373
2,7,1,0.1531552166728989,0.784,0.692,0.05,0.1914461530555343,0.69,0.604,0.0001716434790034,0.1005015821521362,0.896,0.848,0.0004453533694292
2,7,2,0.1544558469130222,0.792,0.656,0.05,0.164788696837283,0.764,0.652,0.0002529505528704,0.1068186896992008,0.9,0.836,0.0002431705789648
2,7,3,0.1448760323544561,0.812,0.676,0.05,0.1683595513719732,0.768,0.636,0.0003123261045034,0.1033928654910016,0.91,0.828,0.0005109493327239
2,7,4,0.1550892706737635,0.782,0.624,0.05,0.184968413227239,0.736,0.612,0.000168068395176,0.084617011435928,0.94,0.82,0.0003027008428206
2,8,0,0.1447651518899096,0.806,0.64,0.05,0.1690686226385655,0.762,0.62,0.0001035242067112,0.0872516014564969,0.92,0.888,0.0003928507214146
2,8,1,0.1554658302731641,0.772,0.632,0.05,0.1680916555030003,0.748,0.648,0.0001553958303977,0.0859547752552392,0.924,0.872,0.0004414347188793
2,8,2,0.1622504580842574,0.784,0.644,0.05,0.1545742914041694,0.794,0.62,0.0002559282681108,0.098325433504838,0.874,0.864,0.000502345424717
2,8,3,0.1468404668523656,0.778,0.628,0.05,0.1540398391348591,0.776,0.608,0.0002507060593864,0.0932892454925848,0.906,0.828,0.0004829374118916
2,8,4,0.1599860390218124,0.774,0.668,0.05,0.17885706617124,0.732,0.604,0.0002644322287946,0.0919612823012971,0.92,0.804,0.0002370749401207
